Monitoring Uvicorn PID: 65695
Time (s) | CPU (%) | MEM (%) | RSS (MB)  
---------------------------------------------
       0 | 66.5    | 2.8     |   374.30 MB
       1 | 66.3    | 2.8     |   374.30 MB
       2 | 66.0    | 2.8     |   374.30 MB
       3 | 66.0    | 2.8     |   374.32 MB
       4 | 66.2    | 2.8     |   374.33 MB
       5 | 66.3    | 2.8     |   374.37 MB
       6 | 66.5    | 2.8     |   374.45 MB
       7 | 66.7    | 2.8     |   374.50 MB
       8 | 66.9    | 2.8     |   374.54 MB
       9 | 67.0    | 2.8     |   374.53 MB
      10 | 67.3    | 2.8     |   374.54 MB
      11 | 67.5    | 2.8     |   374.52 MB
      12 | 67.7    | 2.8     |   374.52 MB
      13 | 67.9    | 2.8     |   374.52 MB
      14 | 68.0    | 2.8     |   374.52 MB
      15 | 68.2    | 2.8     |   374.52 MB
      16 | 68.3    | 2.8     |   374.51 MB
      17 | 68.4    | 2.8     |   374.52 MB
      18 | 68.6    | 2.8     |   374.52 MB
      19 | 68.7    | 2.8     |   374.48 MB
      20 | 68.8    | 2.8     |   374.48 MB
      21 | 69.0    | 2.8     |   374.48 MB
      22 | 69.1    | 2.8     |   374.49 MB
      24 | 69.2    | 2.8     |   374.48 MB
      25 | 69.4    | 2.8     |   374.43 MB
      26 | 69.5    | 2.8     |   374.42 MB
      27 | 69.6    | 2.8     |   374.43 MB
      28 | 69.7    | 2.8     |   374.44 MB
      29 | 69.8    | 2.8     |   374.40 MB
      30 | 69.9    | 2.8     |   374.38 MB
      31 | 70.0    | 2.8     |   374.40 MB
      32 | 70.1    | 2.8     |   374.39 MB
      33 | 70.3    | 2.8     |   374.42 MB
      34 | 70.4    | 2.8     |   374.39 MB
      35 | 70.5    | 2.8     |   374.38 MB
      36 | 70.7    | 2.8     |   374.36 MB
      37 | 70.8    | 2.8     |   374.36 MB
      38 | 70.9    | 2.8     |   374.35 MB
      39 | 71.0    | 2.8     |   374.31 MB
      40 | 70.8    | 2.8     |   374.31 MB
      41 | 70.6    | 2.8     |   374.31 MB
      42 | 70.3    | 2.8     |   374.31 MB
      43 | 70.1    | 2.8     |   374.31 MB
